DMUs,Period,Capital,Labor,GIOV
Beijing,2005,12829.79,116.97,6946.07
Tianjin,2005,6347.92,122.17,6774.1
Hebei,2005,9473.7,292.21,11008.12
Shanxi_1,2005,7045.09,213.2,4850.91
Neimenggu,2005,4595.89,83.7,2995.59
Liaoning,2005,11902.12,276.55,10814.51
Jilin,2005,4506.88,101.83,3791.96
Heilongjiang,2005,5174.47,136.85,4714.91
Shangai,2005,15905.94,259.63,15767.51
Jiangsu,2005,25488.86,704.24,32707.09
Zhejiang,2005,20609.3,659.12,23106.76
Anhui,2005,5067.1,155.21,4567.23
Fujian,2005,6841.37,290.41,8135.98
Jiangxi,2005,3058.34,112.11,2978.88
Shandong,2005,22131.24,738.23,30522.86
Henan,2005,9158.03,362.79,10487.38
Hubei,2005,8683.39,188.3,6066.96
Hunan,2005,4611.6,169.25,4754.86
Guangdong,2005,27076.08,1085.65,35942.74
Guangxi,2005,3009.98,91.21,2547.32
Hainan,2005,791.28,12.1,473.06
Chongqing,2005,3091.96,92.42,2525.87
Sichuan,2005,7908.62,218.99,6178.03
Guizhou,2005,2734.05,68.08,1690.4
Yunnan,2005,3964.32,68.83,2596.21
Tibet,2005,112.43,1.99,27.29
Shanxi_2,2005,5085.87,118.97,3397.71
Gansu,2005,2483.04,68.62,1988.26
Qinghai,2005,1145.49,14.04,486.86
Ningxia,2005,1113.1,25.58,671.54
Sinkiang,2005,2837,46.7,2102.53
Beijing,2006,14244.4,117.36,8210
Tianjin,2006,7129.02,116.33,8527.7
Hebei,2006,11250.95,303.35,13489.8
Shanxi_1,2006,8865.5,220.59,5902.84
Neimenggu,2006,5605.92,90.72,4140.05
Liaoning,2006,14140.89,303.02,14167.95
Jilin,2006,5449.59,105.21,4752.72
Heilongjiang,2006,5690.43,140.31,5440.17
Shangai,2006,17926.1,266.84,18573.13
Jiangsu,2006,30500.98,774.5,41410.4
Zhejiang,2006,24895.59,726.94,29129.94
Anhui,2006,6234.68,164.81,5915.59
Fujian,2006,8168.75,324.89,10005.08
Jiangxi,2006,3671.41,125.8,4245.49
Shandong,2006,26475.35,788.11,38780.1
Henan,2006,11026.18,365.28,13889.77
Hubei,2006,9694.56,190.85,7454.07
Hunan,2006,5582.18,178.15,6131.18
Guangdong,2006,33869.53,1203.58,44674.75
Guangxi,2006,3504.89,91.37,3356.76
Hainan,2006,961.15,12.2,640.26
Chongqing,2006,3603.06,96.1,3213.45
Sichuan,2006,9182.08,233.53,7934.41
Guizhou,2006,3214.39,67.23,2066.77
Yunnan,2006,4808.98,71.55,3393.09
Tibet,2006,119.87,2.16,33.33
Shanxi_2,2006,6130.02,122.53,4442.81
Gansu,2006,3211.31,68.93,2483.56
Qinghai,2006,1382.7,14.64,640.66
Ningxia,2006,1299.05,24.64,859.7
Sinkiang,2006,3375.02,47.93,2683.44
Beijing,2007,16215.5,119.25,9648.38
Tianjin,2007,8329.26,120.76,10075.07
Hebei,2007,13721.58,303.21,17054.78
Shanxi_1,2007,10896.32,216.34,7791.71
Neimenggu,2007,7512.36,93.28,5812.96
Liaoning,2007,17034.52,328.02,18249.53
Jilin,2007,6024.6,109.33,6486.01
Heilongjiang,2007,6578.79,142.94,6143.17
Shangai,2007,20656.75,282.12,22259.94
Jiangsu,2007,38011.22,861.05,53316.38
Zhejiang,2007,30581.98,790.93,36073.93
Anhui,2007,7873.16,178.21,7945.17
Fujian,2007,10157.2,359.16,12517.91
Jiangxi,2007,4688.79,140.73,6194.18
Shandong,2007,31994.91,830.48,49873
Henan,2007,13788,382.23,20442.21
Hubei,2007,12107.24,200.35,9601.52
Hunan,2007,6832.01,195.47,8464.08
Guangdong,2007,39821.97,1307.4,55252.86
Guangxi,2007,4761.72,99.52,4587.35
Hainan,2007,1133.35,12.33,1002.78
Chongqing,2007,4412.77,108.27,4363.25
Sichuan,2007,11690.21,257.46,11047.04
Guizhou,2007,3521.19,66.62,2520.36
Yunnan,2007,5834.12,82.06,4298.29
Tibet,2007,172.18,2.02,41.36
Shanxi_2,2007,7494.03,124.11,5692.33
Gansu,2007,3712.44,66.74,3231.52
Qinghai,2007,1645.94,15.56,822.72
Ningxia,2007,1546.93,25.45,1070.71
Sinkiang,2007,4336.32,53.79,3296.61
Beijing,2008,16802.42,123.38,10413.09
Tianjin,2008,10351.21,133.12,12503.25
Hebei,2008,17261.75,316.85,23030.73
Shanxi_1,2008,13452.67,214.93,10023.87
Neimenggu,2008,10089.3,104.57,8740.18
Liaoning,2008,22040.91,366.23,24769.09
Jilin,2008,7525.18,126.99,8406.85
Heilongjiang,2008,7826.92,155.99,7624.54
Shangai,2008,22750.35,304.01,25120.92
Jiangsu,2008,48321.94,1104.06,67798.68
Zhejiang,2008,35550.76,814.55,40832.1
Anhui,2008,10122.18,210.8,11162.16
Fujian,2008,11694.91,380.06,15212.81
Jiangxi,2008,6420.95,178.56,8499.58
Shandong,2008,39224.51,912.7,62958.53
Henan,2008,17316.86,417.36,26028.41
Hubei,2008,15431.43,235.9,13454.94
Hunan,2008,8856.19,225.55,11553.31
Guangdong,2008,45750.15,1493.38,65424.61
Guangxi,2008,5981.12,114.6,6071.98
Hainan,2008,1207.77,12.61,1103.07
Chongqing,2008,5521.03,132.13,5755.9
Sichuan,2008,15589.47,297.54,14761.86
Guizhou,2008,4566.1,73.53,3111.13
Yunnan,2008,7185.11,84.34,5144.58
Tibet,2008,223.87,1.79,48.19
Shanxi_2,2008,9905.91,131.83,7480.79
Gansu,2008,4497.49,69.13,3667.52
Qinghai,2008,2092.67,17.42,1103.1
Ningxia,2008,2061.86,25.89,1366.46
Sinkiang,2008,5652.57,57.84,4276.05
Beijing,2009,19540.7,120.41,11039.13
Tianjin,2009,12617.69,136.82,13083.63
Hebei,2009,20662.67,319.94,24062.76
Shanxi_1,2009,15424.51,211.11,9249.98
Neimenggu,2009,11650.94,110.4,10699.44
Liaoning,2009,25333.81,386.62,28152.73
Jilin,2009,8525.06,137.05,10026.5
Heilongjiang,2009,8860.63,144.48,7301.6
Shangai,2009,24595.29,284.12,24091.26
Jiangsu,2009,53600.08,1026.16,73200.03
Zhejiang,2009,39752.79,787.64,41035.29
Anhui,2009,12171.72,232.06,13312.59
Fujian,2009,13344.47,379.47,16762.82
Jiangxi,2009,7018.93,174.94,9783.96
Shandong,2009,46052.69,926.6,71209.42
Henan,2009,19668.61,449.14,27708.15
Hubei,2009,19221.02,272.39,15567.02
Hunan,2009,10175.11,241.01,13507.64
Guangdong,2009,50321.88,1436.02,68275.77
Guangxi,2009,6840.57,122.88,6880.04
Hainan,2009,1291.39,12,1057.45
Chongqing,2009,6438.31,137.29,6772.9
Sichuan,2009,18042.57,311.76,18071.68
Guizhou,2009,5066.17,74.97,3426.69
Yunnan,2009,8174.12,84.2,5197.45
Tibet,2009,251.08,1.69,51.6
Shanxi_2,2009,12119.26,137.69,8470.4
Gansu,2009,5290.54,69.03,3770.38
Qinghai,2009,2525.56,17.8,1080.35
Ningxia,2009,2676.61,27.28,1461.58
Sinkiang,2009,6438.07,58.25,4001.12
